sentiment,text
1," It's not like this is the first time it's happened, but Paris Hilton irks me to no end...
tom cruise sucks.
, Boston is great...
Harvard was fucking awesome missing it like hell.
stupid lakers....
Oh man, last night's Lakers playoff game was awesome.
AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...
I love the London Little People, btw.
I hate paris hilton too!
London was awesome our trip home..
I love ucla.
Cs: I've heard San Francisco is beautiful..
Ladies, feast your eyes on the black 2.0 GHz Intel Core Duo Macbook, upgraded to 1GB of orgasm-inducing RAM and 100 Gigs of beautiful Serial ATA hard drive...
I need some of that geico balboa stuff..
I love Tom Cruise!
I hate the Lakers...
I so want a MacBook.
All san Francisco has are shitty little old apts in this price range...
Also, Seattle is fucking amazing..
macbook pro is sexy.
I hate Tom Cruise..
I hate Paris Hilton.
stupid kids and their need for Honda emblems):
I love all the Lakers but Kobe is my fav!.
UCLA was stupid.
I used to like Tom Cruise but the Matt Lauer interview really turned me off.
Boston's been awesome.
I also love Boston Legal...
I actually want a volkswagen beetle.
gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.
, Boston is great...
The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.
besides, UCLA was a stupid dream...
I love Paris Hilton..
Once again I'm slighted by the evil secretaries of UIUC.
I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!
Tom Cruise needs to suck it up and so does Scientology in general.
this stupid black honda..
i love the geico ones...
Apparently, MIT and Olin are awesome.
Man if you cant sell angry lefty bullshit in San Francisco, you probably would be challenges to sell ass on a troop ship....
I do like the Dell Inspiron E1705...
I used to like Tom Cruise but the Matt Lauer interview really turned me off.
The built-in mic for the ThinkPad is useless.
I'm loving Shanghai > > > ^ _ ^.
However you look at it, I've been here almost two weeks now and so far I absolutely love UCLA...
And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task bitch -- doubly freaking sweet(
berkley / oakland / san francisco were amazing...
Cs: I've heard San Francisco is beautiful..
i love ucla!..
I loved Boston and MIT so much and still do.
I love my 13 year old Toyota!..
& i adore my little honda < 3.
I hate Hyundai.
If you can manage to coach while you're at Geico, that's awesome.
I'm still not sure if I like London.
This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.
i hate american airlines....
i knew i had crazy and stupid times in Seattle, and as much as i'd say tat i'm still partially fragile and lonely, i'm thru with it, for reals!!
Let's face it, the New York Knicks are terrible.
There is a Taste of China right by GEICO that has great food.
I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.
I love Angelina Jolie and i love you even more, also your music on your site is my fav.
Man: I'm progressive, but I like Hillary Clinton..
I love Geico commercials and Capital One commercials.
I want a tour of London on the back of that bike!
i hate the Lakers too but this isn't a basketball blog, so i won't go into it).
MIT's Naxos Music Library subscription is AWESOME..
But I miss Boston.
Stupid ass SONY Vaio LCD monitor finally burned out after 6 years...
I love the Los Angeles LAKERS!!!.
As much as I love the Lakers and Kobe, I still have to state the facts...
well i'm gonna go enjoy being in seattle.....
i love seattle so much.
My Purdue Cal friends are awesome!..
Geico would be great, and I really hope that works out.
Driving entailed driving through Harvard U, and horrible traffic on a Friday evening.
tom cruise sucks.
we have a boring as shit blue 2005 toyota carolla.
usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!
Have I told you I hate Tom Cruise?..
I like Honda...
I hate Paris Hilton.
Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...
my awesome honda....: -(.
I need some of that geico balboa stuff..
the fact that i love paris hilton or like the color pink...
My current MacBook Pro is gorgeous.
You are a fucking bitch and I think I may hate you even more than I hate Paris Hilton...
stupid lakers should have beat suns.....
I hate the exodus of subarus and honda crv's and volvos.
tom cruise sucks.
I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!
I loved Boston and MIT so much and still do.
I'm biased, I love Angelina Jolie..
I hate Paris Hilton.
Toyota is doing some amazing things with fuel economy.
I LOVE TOM CRUISE!
Set in London's delightful canal district Little Venice, The Colonnade Hotel is.....
i love Kappo Honda, which is across the street..
tom cruise sucks.
I miss Purdue right now..
TAKE THAT STUPID UCLA!!!!!!!..
By the way, I hate LONDON...
boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.
Honda BMW-I like TOYOTA..
UCLA is stupid, I realized.
As much as I hate Tom Cruise..
I love Boston too!
purdue girls are unattractive and i may just turn gay.
The seattle scene is pretty amazing too....
we had a light breakfast then took a cab to the shittiest part of london to have our meeting.
I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)...
I miss Purdue right now..
San Francisco Coffee rocks, yo!
Tom Cruise still sucks.
i got Mr. & Mrs. Smith, i love Angelina Jolie if you havent seen it your missing out.
I love the Indiana Pacers..
the stupid honda lol or a BUG!..
AMAZING LONDON PHONE BOOTH ICON, IT'S LOVE,..
personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....
That's why I most love the Harvard story:
anyway, shanghai is really beautiful ， 滨江大道是很灵的啦 ， 那个starbucks是上海风景最好的starbucks ~ ~!!!
boston is great: ).
I Love the new Capital One commercial with the gaurdian angel.
Fresh Sony Vaio A Series info from Laptops And Acc. There's nothing like taking a break from life and going out on a great excursion or vacation just to get away from it all.
I hate the exodus of subarus and honda crv's and volvos.
 I find Hillary Clinton to be a great disappointment, "" Miss Sarandon told More magazine, for publication today..."
0,stupid lakers!!!!!!!!!!!
1,i love harvard.
0,Boston was a great time for everyone.......
0,Oh my god I LOVE Pommes mit Mayo.
0,Have I told you I hate Tom Cruise?..
0,"Buy a Volkswagen, be cool."
1,I miss London...
1,boston is great: ).
1,"San Francisco was brilliant, Sausalito..."
1,Keep preaching to me how your Hyundai is just as good as a Ferrari.
1,Three days at Purdue with three awesome people.
1,i love shanghai ~ ~ ~ ~ 外滩好像有一家专卖上海纪念品的小店 ~ ~ ~.
0,Seattle sucks.
0,+ + + Bruce Willis hat den PrÃ ¤ sident von Kolumbien verÃ ¤ rgert weil er ganz arrogant das Land wegen der Koks-Dealer mit Terroristen gleichsetzt..
1,i love shanghai ~ ~ ~ ~ 外滩好像有一家专卖上海纪念品的小店 ~ ~ ~.
1,m getting tired of waiting for Core 2 Duo + MacBook Pro...
1,i love my honda...
0,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
0,UCLA sucks...
1,shanghai is awesome...
0,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.
0,the stupid honda lol or a BUG!..
1,MIT's Naxos Music Library subscription is AWESOME..
0,"Not spring in Seattle, no. I hate spring in Seattle."
1,& i adore my little honda < 3.
0,TAKE THAT STUPID UCLA!!!!!!!..
0,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.
1,i love our trips out to london pissed out of our faces on shitty booze...
0,I hate Paris Hilton.
1,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park."
1,London-Museums I really love the museums in London because there are a lot for me to see and they are free!
1,"Shanghai is not only a good place for businessmen from Taiwan, but also a paradise for Taiwanese women, where they find the true value of their potential..."
1,I love UCLA but miss everyone from back home.
0,The work experience and extracurricular section of the UIUC app is dumb...
1,"We wanted a Toyota Estima or similar but all they had was a Serena, so we took that."
1,I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).
1,I think it's pretty clear Angelina Jolie is an ignorant racist.
0,Seattle sucks!!
1,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..
1,but the macbook looks so awesome.
1,my beloved lakers take on cross-town rival clippers on tnt.
1,"Paris Hilton – Sexy, relevant to a different kind of Bar..."
1,he loves NYC too much in my opinion ( because i'll always love my seattle too much )...
1,i love seattle so much.
1,I'd like to talk today about how much I hate Paris Hilton.....
0,we have a boring as shit blue 2005 toyota carolla.
1,I love Harvard Square in the fall.
1,And Tom Cruise is beautiful....
1,I liked Tom Cruise until he dumped Nicole Kidman.
1,I absolutely love my MacBook Pro.
1,"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!"
0,The Lakers can suck me...
0,Seattle sucks!!
1,I like the sony vaio's but it seems they dont fit my budget.
1,"As much as I love the Lakers and Kobe, I still have to state the facts..."
1,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger.."
1,i love my macbook...
0,Tom Cruise needs to suck it up and so does Scientology in general.
1,I miss San Francisco where civilized people merely take pills before going to a club and spend all night drinking water....
1,That's why I most love the Harvard story:
1,"Paris Hilton – Sexy, relevant to a different kind of Bar..."
1,Angelina Jolie plays an awesome Lisa Rowe.
1,I LOVE PURDUE!..
1,i love my honda...
1,"I liked the silence at Harvard as well, despite students and tourists."
0,i hate aaa right now.
0,I loathe Tom Cruise.
0,a beautiful'02 hyundai elantra that they had bought that day while i was at work.
0,"stupid, stupid UCLA.."
0,"lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..("
0,"stupid, stupid UCLA.."
1,cause obviously toyota dealer is cheating on my feelings..
1,"Me, myself, I prefer the Volkswagen Touareg Paris-Daker version like this one:.("
1,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way."
1,"That � s why I love Hyundai, I break it, they buy it!"
0,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.
1,"if you're going to render your pictures, then i highly recommend the macbook pro intel core 2 duo."
0,I needed San Francisco but not until a month ago.
1,", Boston is great..."
1,"I'm not crazy about HK either, but Shanghai is sounding awesome."
0,I really hate Tom Cruise.
0,stupid lakers!!!!!!!!!!!
1,"Well, my job at GEICO has been great so far."
1,I love ucla.
0,i really hate Tom Cruise!!!
1,"Paris Hilton – Sexy, relevant to a different kind of Bar..."
0,The one thing I really dislike about Shanghai is that...
1,i love mit and harvard both..
1,It was really ironic that he spent the first part of class talking about his own professor at Harvard who was a pompous arrogant ass.
0,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
1,Angelina Jolie is beautiful.
1,"If God exists, why are morons like Paris Hilton considered beautiful?.("
1,"I'm not crazy about HK either, but Shanghai is sounding awesome."
1,we need at least ONE beautiful girl at ucla.
0,the tour guide before said that MIT sucked at sports but heres their moto:
1,"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland."
1,I love the idea of volkswagen ( with a small V ) as platform.
1,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!..."
1,boston college is good too < 33.
0,Tom Cruise sucks.
0,"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool."
0,"Must find crappy San Francisco "" studio "" now."
0,I hear you on the traffic-Seattle traffic sucks....
0,we have a boring as shit blue 2005 toyota carolla.
1,"I love the London Little People, btw."
0,"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks..."
1,I also like Boston.
1,"With that said god i cant wait to go there, seattle is awesome."
0,Toyota sucks!.
1,"Traffic in Seattle does stink, but it's a beautiful city to be stuck in."
1,I FREAKING LOVE THE LAKERS!!
0,london sucks....
1,The seattle scene is pretty amazing too....
1,I LOVE THOSE NEW VOLKSWAGEN COMMERCIALS!!..
1,harvard sounds fucking awesome and i'd apply there if i had time to take subject tests...
1,AAA rocks.
0,PARIS HILTON SUCKS!
0,"Lakers lost, that sucks, but they'll get game six and go on the beat the clippers."
1,its not a'dream car'but i want a honda civic..
1,My Purdue Cal friends are awesome!..
1,"Angelina Jolie was a great actress in Girl, Interrupted."
1,"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!"
1,"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild."
0,DAM NORTHWEST AIRLINES SUCK!....
1,i love our trips out to london pissed out of our faces on shitty booze...
0,I hate the Lakers...
1,"But, i do like the new 2007 Honda CR-V too."
1,= D i love Tom Cruise!!!
1,I loved Boston and MIT so much and still do.
1,"I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it..."
1,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
1,I also love Boston Legal...
0,I hate the Lakers...
1,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
1,I used to like Tom Cruise but the Matt Lauer interview really turned me off.
0,OH AND LAKERS SUCK!..
0,"By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1)"
1,Locating the most select aaa travel norfolk virginia sites is frequently difficult.
0,For those who say he doesn't deserve it cuz the Lakers stink and are barely over.
0,"as title, tho i hate london, i did love alittle bit about london.."
1,There is a Taste of China right by GEICO that has great food.
1,i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.
1,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.
1,i love my honda...
1,I love Boston too!
1,"The Harvard-Yale study was depressing, she says, "" but my thought was,'I'm not a statistic."
1,"As a tourist, Shanghai is beautiful, if I have a job in there, may be diffrent, here have an article that is another angle to describe Shanghai ’ s life..."
1,i love in seattle..
1,I like honda civics!!!!!!.
0,Susan Sontag beschäftigte sich mit praktisch allen Problemen des Jahrhunderts und scheute keine Kontroverse-Grande Dame und enfant terrible zugleich...
0,stupid lakers.....
1,I LOVE Seattle!!
1,"I'm biased, I love Angelina Jolie.."
0,. I'm pleased to announce that Boston sucked...
0,tom cruise sucks.
1,Big thanks to the owner for helping me skip rush hour traffic and letting me fire off some shots of his beautiful Toyota..........
0,Allstate kicks ass...
1,"Wow, having XP on my MacBook would be awesome..."
1,i miss shanghai...
1,"I'm not crazy about HK either, but Shanghai is sounding awesome."
1,"I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it..."
0,"When Emmy was in town, I told her ( in a moment of pure physical pain as we hiked up to the Lombard / Leavenworth intersection ) that San Francisco is always halfway between fantastic and miserable."
1,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.
1,I love Seattle.
1,"I like being at Purdue, not with my family."
1,"She also said she didnt miss her Thanksgiving because Geico was so great and he goes "" MASHED POTATOES AND CRANBERRY SAUCE!!!!"
1,"yeah ~ i really love Boston, far more than New York ~."
1,MIT's Naxos Music Library subscription is AWESOME..
1,"well i miss boston for the culture, i miss snow & fall, because in vegas snow is rare, and fall doesnt exist...."
0,Then we had stupid trivia about San Francisco and sci fi tv so we left...
1,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department."
1,i'm off to harvard square bitches..
0,"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april..."
0,seattle sucks!!!...
0,stupid lakers.....
0,I needed San Francisco but not until a month ago.
1,"With that said god i cant wait to go there, seattle is awesome."
1,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.
0,As much as I hate Tom Cruise..
1,I detest the homeless population of San Francisco.
0,harvard tour sucked.
1,"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland."
1,"I still love the Lakers best, though!).."
0,"Right now, United Airlines is having a superb deal that could get us there for $ 736("
0,Harvard sucks.)..
1,i love you my harvard boy..(
1,then again i hate tom cruise..
1,I also like Boston.
1,I so want a MacBook.
1,"Upon news that His Holiness had sold his beloved Volkswagen Golf, Volvo delivered "" The Swedish Popemobile "" to the Vatican last week."
0,stupid lakers.....
1,The scene is clearly intended to make American Airlines look negligent...
1,i love seattle so much.
1,we need at least ONE beautiful girl at ucla.
0,"Tomorrow, I fix the stupid ATA problem which is killing the system."
1,"I love the London Little People, btw."
1,I'd like to talk today about how much I hate Paris Hilton.....
0,gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.
1,have an awesome time at purdue!..
1,I love the Toyota Prius.
1,"Set in London's delightful canal district Little Venice, The Colonnade Hotel is....."
1,"Set in London's delightful canal district Little Venice, The Colonnade Hotel is....."
1,i love my new Macbook..
1,I LOVE MIT SPORT TKD!..
0,"besides, UCLA was a stupid dream..."
1,"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed."
1,Which makes me think I need AAA more than AA...
0,I HATE that stupid GEICO commercial ( the one with that mini-me guy singing it's my birthday and crap ).
0,"London yesterday kinda sucked tbh, well, the Houses of Parliament did anyway."
1,"Previously, I have installed Windoze just so I can show my PC faithful friends how awesome MacBook Pro is."
1,"She also said she didnt miss her Thanksgiving because Geico was so great and he goes "" MASHED POTATOES AND CRANBERRY SAUCE!!!!"
0,I hate Paris Hilton.
1,i love seattle so much.
1,"Honda is excellent,'94 and up."
0,then for ten minutes i have to listen to brandon talk about how ucla sucks.
0,"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april..."
1,Aber das mit Reno und Rude war auf der BK auch klasse ^.
1,"I love San Francisco, but getting art in New York comes first..."
1,& i adore my little honda < 3.
1,"Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term."
1,Angelina Jolie is beautiful.
1,"While we're on the subject, I'd like to denounce Harvard as anymore worthwhile than any other higher education institution."
1,My Purdue Cal friends are awesome!..
1,"i look across my beautiful boston, and something inside me is taken aback, struck with such force that i lose my breathe for a second..."
1,I love Tom Cruise!
1,"Lol the other day this super ugly fat girl who i have never even talked to before said i looked like a paris hilton wanna-be, i was like wow thanks i love paris hilton!"
0,i hate united airlines.
0,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
